id,year,record_ref,AgencyCode,AgencyName,DateOfStop,TimeOfStop,DurationOfStop,ZIP,VehicleMake,VehicleYear,DriversYearofBirth,DriverSex,DriverRace,ReasonForStop,TypeOfMovingViolation,ResultOfStop,BeatLocationOfStop,VehicleConsentSearchRequested,VehicleConsentGiven,VehicleSearchConducted,VehicleSearchConductedBy,VehicleContrabandFound,VehicleDrugsFound,VehicleDrugParaphernaliaFound,VehicleAlcoholFound,VehicleWeaponFound,VehicleStolenPropertyFound,VehicleOtherContrabandFound,VehicleDrugAmount,DriverConsentSearchRequested,DriverConsentGiven,DriverSearchConducted,DriverSearchConductedBy,PassengerConsentSearchRequested,PassengerConsentGiven,PassengerSearchConducted,PassengerSearchConductedBy,DriverPassengerContrabandFound,DriverPassengerDrugsFound,DriverPassengerDrugParaphernaliaFound,DriverPassengerAlcoholFound,DriverPassengerWeaponFound,DriverPassengerStolenPropertyFound,DriverPassengerOtherContrabandFound,DriverPassengerDrugAmount,PoliceDogPerformSniffOfVehicle,PoliceDogAlertIfSniffed,PoliceDogVehicleSearched,PoliceDogContrabandFound,PoliceDogDrugsFound,PoliceDogDrugParaphernaliaFound,PoliceDogAlcoholFound,PoliceDogWeaponFound,PoliceDogStolenPropertyFound,PoliceDogOtherContrabandFound,PoliceDogDrugAmount,SearchConducted,VehicleSearchType,PassengersSearchType,DriverSearchType,ContrabandFound,DrugsFound,AlcoholFound,ParaphernaliaFound,WeaponFound,StolenPropertyFound,OtherContrabandFound,DrugQuantity,ConsentSearchRequested,WasConsentGranted,WasConsentSearchPerformed,WasConsentContrabandFound,ConsentDrugsFound,ConsentAlcoholFound,ConsentParaphernaliaFound,ConsentWeaponFound,ConsentStolenPropertyFound,ConsentOtherContrabandFound,ConsentDrugQuantity,TypeOfRoadway,Passenger1SearchType,Passenger2SearchType,Passenger3SearchType,Passenger4SearchType,Passenger5SearchType,Passenger6SearchType,driver_race,search_conducted,search_hit,consent_search_requested,consent_search_conducted,dog_sniff,dog_search_conducted,dog_search_hit,outcome,Agency_id
42450690,2023,2023-384,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-02,15:36:00,8,60639,HYUANDI,2012,1984,1,2,1,2,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42450692,2023,2023-386,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-02,15:36:00,4,60466,LAND ROVER,2015,1985,2,2,1,4,3,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42450693,2023,2023-387,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-01,08:25:00,20,60637,LEXUS,2020,1997,1,2,1,2,1,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42450698,2023,2023-392,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-02,19:02:00,9,60659,TOYOTA,2011,2004,2,1,1,4,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42451088,2023,2023-782,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-03,18:04:00,16,60649,KIA,2021,1942,1,1,1,4,3,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42451089,2023,2023-783,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-03,15:02:00,12,60615,NISSAN,2005,1987,2,2,1,4,1,221,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42451091,2023,2023-785,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-03,09:40:00,8,60649,KIA,2022,1991,1,2,1,1,3,131,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42451092,2023,2023-786,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-03,20:09:00,54,60643,CHEVY,2018,1986,1,2,1,4,1,222,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42451644,2023,2023-1338,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-04,14:28:00,10,60641,FORD,2001,1975,1,4,1,4,3,140,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
42453885,2023,2023-3579,14057,UNIVERSITY OF CHICAGO POLICE,2023-01-03,14:52:00,7,60077,HYUANDI,2013,1964,1,3,1,4,3,132,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873
